VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.716889547802,0.044290601031,30357.179660854,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.420291442055,0.052010604559,65.300617809731,0.000000000000,Female,v2024,HCUP 2021
AGECAT5,1,-0.675855215714,0.050433274888,179.58621585768,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT6,1,-0.020038105901,0.048613555076,0.169902031315,0.680198890216,Age 25-29,v2024,HCUP 2021
AGECAT7,1,0.380854130777,0.047138522221,65.277785655266,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT8,1,0.514954473242,0.046896775746,120.57345342884,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT9,1,0.641620142948,0.046745697023,188.39644328417,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT10,1,0.646250163266,0.046902467566,189.84971435128,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT11,1,0.721696568346,0.046587074162,239.98185634525,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT12,1,0.777166306482,0.046425270398,280.23285007526,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT13,1,0.627176608842,0.046850313699,179.20688823148,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT14,1,0.385854483502,0.048086091850,64.388474914306,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT15,1,0.170638739046,0.049907487739,11.690251348131,0.000628284111,Age 70-74,v2024,HCUP 2021
AGECAT16,1,0.158638502479,0.052964777120,8.971042310079,0.002742920754,Age 75-79,v2024,HCUP 2021
AGECAT17,1,0.104541130844,0.058536398215,3.189498441863,0.074112747376,Age 80-84,v2024,HCUP 2021
FAGECAT5,1,0.058372612313,0.060506769411,0.930701315281,0.334680755032,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT6,1,-0.103117380635,0.058372803860,3.120632564377,0.077306767979,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT7,1,-0.173418006541,0.056330905735,9.477524391989,0.002080044652,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT8,1,-0.122380824407,0.055882217675,4.796003413736,0.028525836137,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT9,1,-0.175446586454,0.055718977924,9.914790978946,0.001639557566,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT10,1,-0.177289932031,0.055937000110,10.045459428196,0.001527239090,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT11,1,-0.271772708628,0.055612823201,23.881510929212,0.000001024510,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT12,1,-0.384379592649,0.055496808719,47.971646411064,0.000000000004,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT13,1,-0.427074822860,0.056216640089,57.713600366465,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT14,1,-0.385811276332,0.057977251551,44.282750368593,0.000000000028,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT15,1,-0.261885243506,0.060226397670,18.908116994034,0.000013716779,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT16,1,-0.081278943552,0.063579984869,1.634237830941,0.201117897558,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT17,1,0.000333525864,0.069927974369,0.000022748729,0.996194453927,"Female,Age 80-84",v2024,HCUP 2021
