VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.128634671055,0.006974695641,772106.03313288,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.510479142478,0.008861999765,3318.1234191917,0.000000000000,Female,v2024,HCUP 2021
AGECAT2,1,1.182910445757,0.008060043255,21539.171227573,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,0.505203696498,0.008874404045,3240.8180068558,0.000000000000,Age 10-14,v2024,HCUP 2021
AGECAT4,1,0.122016925257,0.011017409411,122.65384781734,0.000000000000,Age 15-17,v2024,HCUP 2021
AGECAT5,1,0.384309303202,0.008542347937,2023.9849665968,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT6,1,0.322786985473,0.009137818987,1247.8056000714,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT7,1,0.219601389797,0.009293435444,558.36423892656,0.000000000000,Age 30-34,v2024,HCUP 2021
FAGECAT2,1,-1.059499145675,0.011146469735,9034.9663499544,0.000000000000,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,-0.796660387950,0.012275358220,4211.9004483290,0.000000000000,"Female,Age 10-14",v2024,HCUP 2021
FAGECAT4,1,-0.341790639891,0.014683975329,541.79256135683,0.000000000000,"Female,Age 15-17",v2024,HCUP 2021
FAGECAT5,1,-0.204597569492,0.011025526442,344.35173080331,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT6,1,-0.198386812788,0.011821589185,281.62673127770,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT7,1,-0.144982425837,0.011960520367,146.93679889096,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
