VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.028935555729,0.004233685281,1410960.9655015,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.009345836912,0.005921207749,2.491241320998,0.114481399364,Female,v2024,HCUP 2021
AGECAT1,1,2.592619935111,0.004436140618,341560.07798831,0.000000000000,Age 0-4,v2024,HCUP 2021
AGECAT2,1,1.343936897821,0.004766134064,79510.639576064,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,0.699929259850,0.005131629849,18603.628268509,0.000000000000,Age 10-14,v2024,HCUP 2021
AGECAT4,1,0.657079737710,0.005691820303,13327.042702449,0.000000000000,Age 15-17,v2024,HCUP 2021
AGECAT5,1,0.885054774249,0.004791428975,34120.091616891,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT6,1,0.840970062521,0.005000486121,28283.725849751,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT7,1,0.840200217337,0.004984522965,28413.084086147,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT8,1,0.737159441072,0.005084603852,21018.833982032,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT9,1,0.624816685787,0.005226683538,14290.677769066,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT10,1,0.442880241682,0.005471566602,6551.6280098940,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT11,1,0.302886100016,0.005567524073,2959.6099551741,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT12,1,0.198958453554,0.005672024074,1230.4066289740,0.000000000000,Age 55-59,v2024,HCUP 2021
FAGECAT1,1,-0.115801404877,0.006233535850,345.11094537597,0.000000000000,"Female,Age 0-4",v2024,HCUP 2021
FAGECAT2,1,0.036652774343,0.006688690277,30.028354462449,0.000000042577,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,0.163239798559,0.007146920973,521.69195616935,0.000000000000,"Female,Age 10-14",v2024,HCUP 2021
FAGECAT4,1,0.397898551284,0.007740960061,2642.1353544134,0.000000000000,"Female,Age 15-17",v2024,HCUP 2021
FAGECAT5,1,1.023334160905,0.006488612581,24873.176712839,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT6,1,0.852404812539,0.006738651278,16000.951954186,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT7,1,0.739244988545,0.006745339807,12010.721932706,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT8,1,0.233519536162,0.007035741346,1101.6070542522,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT9,1,0.185067477218,0.007240933502,653.23747501984,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT10,1,0.149298512035,0.007583525140,387.58654943042,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT11,1,0.123885587721,0.007731103119,256.77848902890,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT12,1,0.036963741579,0.007923656527,21.762088270917,0.000003086390,"Female,Age 55-59",v2024,HCUP 2021
