VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-4.595268815233,0.006891447491,444632.23092866,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.307720792501,0.009159008266,1128.7994329551,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-4.778744237072,0.028949477074,27248.721362954,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-4.383093125753,0.027666905364,25098.064260027,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-4.094649164088,0.023915771715,29313.292041870,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-3.791576445602,0.021186495420,32027.378053987,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-3.484365856788,0.019019947320,33560.535309473,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-3.198003074926,0.017342463381,34004.483424032,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-2.829744728995,0.014610130571,37513.391091374,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-2.404512530156,0.012410830980,37536.378259141,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-2.042494718808,0.011133602651,33655.066210899,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-1.722855349602,0.010642245152,26207.833047297,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.381174732863,0.010248404906,18162.879356732,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.901926591154,0.010218145199,7791.0903936417,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.481636433663,0.010474403144,2114.3656440537,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.331359574720,0.040976124439,65.393907444341,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.279816417908,0.039556580854,50.039031370735,0.000000000002,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.364641209877,0.033388303744,119.27317664723,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,0.364417654801,0.029540701288,152.17987237843,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.425589351578,0.026072656858,266.44705752298,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.420121629549,0.023725352145,313.56295479918,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.416788266387,0.019953492974,436.30792665218,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,0.352152974094,0.017013229622,428.43919432248,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,0.278873843306,0.015326689843,331.06923559010,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,0.179620029633,0.014743895186,148.41748150113,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.162586410965,0.014120755788,132.57224300867,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.116512136608,0.014045545210,68.812150245005,0.000000000000,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.057414499119,0.014330532853,16.051605689098,0.000061639335,"Female,Age 80-84",v2024,HCUP 2021
