VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.541662571986,0.018082149496,130880.86805142,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.294014814493,0.023984297196,150.27420303757,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-3.128256763616,0.037279080236,7041.6495461892,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-2.619760174784,0.034483671852,5771.5978663557,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-2.249736014089,0.030123668798,5577.6003573162,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-2.050767469053,0.028634056289,5129.4061794302,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-1.732676625502,0.026622186968,4235.9182983512,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-1.506675758389,0.025568714777,3472.3364911208,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-1.331554680596,0.024221238403,3022.2147609853,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-1.130542455902,0.023140469827,2386.8735285844,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-0.975132845148,0.022602075859,1861.3622997856,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-0.792511768271,0.022543490969,1235.8595013240,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-0.627814964834,0.022715690889,763.85588068441,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.345162753976,0.023537300787,215.04756846259,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.096354550731,0.024909982983,14.962273870619,0.000109682251,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.344718631254,0.051872086445,44.163357140167,0.000000000030,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.208883961380,0.049065585219,18.124090571638,0.000020696634,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,-0.055110830476,0.044686137475,1.520996716626,0.217468722605,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,-0.038906070298,0.042077691635,0.854930716902,0.355161193772,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,-0.086733338636,0.038989542069,4.948526032028,0.026112922531,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.031924926961,0.036407632516,0.768909004470,0.380554772253,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.156324115156,0.033643323972,21.590075589005,0.000003375942,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,0.121295168841,0.032008309745,14.360234257841,0.000150956904,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,0.116173955099,0.031100122060,13.953827921188,0.000187355767,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,0.145546122648,0.030773989933,22.368335388103,0.000002250541,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.218181556286,0.030693562627,50.529089188927,0.000000000001,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.201429335661,0.031727620809,40.306067501124,0.000000000217,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.136723351464,0.033527777390,16.629372534269,0.000045441809,"Female,Age 80-84",v2024,HCUP 2021
