VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-2.988745894419,0.003208587060,867661.50466622,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.153669697460,0.004123413423,1388.8735647293,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-3.637159424483,0.007813870528,216666.74216710,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-3.394471945488,0.008003009064,179902.76149604,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-3.104370976406,0.007038303985,194541.02002089,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-2.802235203540,0.006356069965,194371.16205219,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-2.424251378887,0.005684492057,181874.56793578,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-2.095010845965,0.005229757800,160475.74431494,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-1.788709703196,0.004715254705,143902.85544835,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-1.489750151351,0.004362934085,116592.22032557,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-1.289085377863,0.004206821215,93897.764690843,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-1.169459859081,0.004253267322,75600.606600133,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.024032634122,0.004315269015,56313.412308317,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.702887547754,0.004476806868,24651.024921239,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.395000853288,0.004730238886,6973.1646467889,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.251023899878,0.010759452951,544.31432405922,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.145848518390,0.011257619640,167.84596337802,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,-0.014498850849,0.010181766773,2.027780185865,0.154446046609,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,-0.102600846964,0.009315809301,121.29997526072,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,-0.150491430965,0.008309071954,328.03373120691,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,-0.171074172531,0.007583607525,508.88212763282,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,-0.203952198171,0.006772348958,906.93909911225,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.224705997165,0.006168752359,1326.8891859807,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.192715007212,0.005851616135,1084.6245084294,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.137626134907,0.005846374399,554.15158382578,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,-0.048413867224,0.005844518774,68.618628511258,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,-0.010360305191,0.006008725577,2.972900390479,0.084669925583,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.008222468066,0.006275242191,1.716893700241,0.190093385457,"Female,Age 80-84",v2024,HCUP 2021
