VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.902737054142,0.013154238382,201361.04617926,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.749659783496,0.019489146363,1479.5947852450,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-4.385269663270,0.046311436537,8966.3585985259,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-3.073473328208,0.029823763947,10620.231673732,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-2.344393518798,0.022581762060,10778.178459327,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-1.746749638046,0.019108577379,8356.1189432954,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-1.173396126614,0.016981321766,4774.7025140483,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-0.688925597666,0.015790522668,1903.4945270238,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-0.348756209860,0.014983302193,541.78730069331,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-0.081258640401,0.014551178365,31.184786468170,0.000000023460,Age 55-59,v2024,HCUP 2021
AGECAT9,1,0.023066571721,0.014455751725,2.546154440500,0.110563071496,Age 60-64,v2024,HCUP 2021
AGECAT10,1,0.064476115783,0.014622735766,19.441978939606,0.000010370243,Age 65-69,v2024,HCUP 2021
AGECAT11,1,0.028150096454,0.015000935782,3.521462522834,0.060578968970,Age 70-74,v2024,HCUP 2021
AGECAT12,1,0.122464093182,0.015761528651,60.369957545242,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,0.143033389237,0.017188491589,69.246739148829,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,1.409995530947,0.058422433644,582.47351699936,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,1.254482976342,0.039283212869,1019.8012587920,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.873926573319,0.031950943674,748.13937222507,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,0.582461286266,0.028351850118,422.05720761732,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.351830253710,0.025848539730,185.26540759226,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.216794581285,0.024199942394,80.254276060969,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.069009452162,0.023073370771,8.945303285622,0.002781839040,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.069565171921,0.022441198869,9.609297004823,0.001935947395,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.096475580720,0.022245258747,18.808747643168,0.000014450284,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.066426692749,0.022449223690,8.755533335587,0.003086640926,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,-0.010944045323,0.022989957112,0.226610194578,0.634048789693,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,-0.022240930048,0.024262177745,0.840323150359,0.359304366019,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.010503566235,0.026309768465,0.159382085225,0.689726054017,"Female,Age 80-84",v2024,HCUP 2021
