VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-3.996976834879,0.005151255121,602056.35364480,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.164303160142,0.006274391767,685.72276695626,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-4.997396041908,0.023820572587,44013.220111035,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-4.637808070662,0.023147137898,40144.952287240,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-4.350722890380,0.019976563246,47433.076772953,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-4.077625588298,0.017897279626,51908.758827908,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-3.785487670782,0.016126359412,55102.461838047,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-3.498770678763,0.014651979102,57021.465582048,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-3.129834559389,0.012237512586,65411.854251725,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-2.706038530824,0.010284223208,69234.883281791,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-2.312297200620,0.009035876671,65485.736680997,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-1.944194057981,0.008468842005,52702.493269433,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.533933808558,0.007968187161,37059.041823344,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-1.011170147839,0.007849688754,16593.714186880,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.542444368937,0.007950224658,4655.3421775398,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,1.001891895214,0.027494466064,1327.8565078676,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.741730440200,0.027593325073,722.57699473963,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.651560477333,0.024091341545,731.45480334232,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,0.549785617277,0.021912731208,629.49708808654,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.489683757200,0.019884773154,606.44317892529,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.391166762037,0.018310103193,456.39650113044,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.289935489402,0.015511671858,349.36994270592,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,0.154731935419,0.013213818082,137.12077799187,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,0.060550762866,0.011671123858,26.916208402889,0.000000212470,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,0.008892228647,0.010910208213,0.664286099612,0.415050854532,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.026113860006,0.010149253710,6.620242910739,0.010082608125,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.015054586833,0.009928509789,2.299161853812,0.129443831377,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.005432316534,0.009956703346,0.297672695455,0.585345123584,"Female,Age 80-84",v2024,HCUP 2021
