VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-3.236312704766,0.003593520889,811074.24099261,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.170577261014,0.004635221875,1354.2574031458,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-6.479144690306,0.033543821697,37308.713641857,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-5.244875926673,0.021205781120,61173.297154732,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-4.399909499925,0.013995852387,98829.996674376,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-3.796731768360,0.010803103727,123515.86390273,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-3.293415249617,0.008931708508,135963.99031098,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-2.865133652884,0.007728628945,137431.04769447,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-2.469461506254,0.006543471981,142425.59004523,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-2.127269851251,0.005815040915,133825.72987109,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-1.857579334401,0.005422210506,117365.91622988,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-1.667018541327,0.005391865665,95587.858850246,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.401289849081,0.005311501776,69601.931214731,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.964526540385,0.005368446908,32279.815216859,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.539895420499,0.005515674763,9581.2459372951,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,-0.007632672199,0.050188340341,0.023128504576,0.879123376376,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,-0.182506722459,0.033175463048,30.263820002335,0.000000037709,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,-0.311210058270,0.022519277019,190.98460596800,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,-0.425034061525,0.017817362552,569.06337565731,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,-0.377295924883,0.014310562263,695.10567441732,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,-0.400471585720,0.012279533079,1063.6033784179,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,-0.428558382608,0.010269793664,1741.3920306005,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.376039583307,0.008793768593,1828.5930275181,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.307982616944,0.007941096445,1504.1511101434,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.186248750608,0.007647176620,593.17726126594,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,-0.065594663730,0.007321922308,80.257714350993,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,-0.029646230668,0.007297574516,16.503721649410,0.000048554675,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,-0.010582375605,0.007381249074,2.055448610519,0.151662579759,"Female,Age 80-84",v2024,HCUP 2021
