VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.591889652529,0.011271831007,246109.42590860,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.080883378763,0.014318780256,31.908509738603,0.000000016161,Female,v2024,HCUP 2021
AGECAT5,1,-2.629648285012,0.022117991531,14135.265047006,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-2.216694553074,0.019601734566,12788.591063146,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-1.605888632435,0.016103518417,9944.6453361598,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-0.940743760893,0.013924888752,4564.1428117129,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-0.513946339795,0.013117078878,1535.1870372300,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-0.366827005079,0.013154307031,777.65443187497,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-0.268501081089,0.013353628307,404.29047547811,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.053676594923,0.013892527993,14.928196889634,0.000111681235,Age 75-79,v2024,HCUP 2021
AGECAT13,1,0.024784481225,0.015104771984,2.692348771242,0.100831083976,Age 80-84,v2024,HCUP 2021
FAGECAT5,1,0.731157667481,0.027528635343,705.42802875964,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.743208044960,0.024383306162,929.04258324964,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.620036431251,0.020352921574,928.07034903802,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,0.424861246282,0.017831965652,567.66981200956,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,0.308396301424,0.016853155921,334.85427228483,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,0.215256087125,0.016955083740,161.17994560232,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.199797815472,0.017205021399,134.85623689423,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.218566959660,0.017837686256,150.13846812389,0.000000000000,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.185008627083,0.019336944423,91.539442397929,0.000000000000,"Female,Age 80-84",v2024,HCUP 2021
