VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.315955734829,0.009830806524,292404.74371401,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.543282682238,0.013801889951,1549.4394266638,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-1.486504471177,0.012537240453,14058.161528012,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-1.364235543496,0.012996996551,11017.744915552,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-1.234891468189,0.012592241881,9617.2623980358,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-1.066528467024,0.012283605670,7538.6428930973,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-0.786478539615,0.011845874760,4407.9786241960,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-0.525344329942,0.011523314728,2078.4197053673,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-0.305943265326,0.011142642031,753.88558287908,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-0.114816602837,0.010908031751,110.79409108528,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-0.055571448169,0.010878575032,26.095126462142,0.000000325003,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-0.030834646037,0.011031288685,7.813136910593,0.005186779230,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-0.062604769777,0.011332266424,30.519772568475,0.000000033048,Age 70-74,v2024,HCUP 2021
AGECAT12,1,0.050735928500,0.011911158062,18.143591100039,0.000020485771,Age 75-79,v2024,HCUP 2021
AGECAT13,1,0.105302784485,0.012948413499,66.137319721976,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.598817379091,0.017627034314,1154.0650590142,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.496702710846,0.018466355593,723.48690039915,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.335512095468,0.018173465176,340.83240308753,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,0.278558842931,0.017800954378,244.87662181326,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.169249424596,0.017265420771,96.094839985232,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.124848581282,0.016771817487,55.412400926124,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.056838284284,0.016200929986,12.308412126008,0.000450921416,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.060799618340,0.015886797479,14.646335815373,0.000129686520,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.083316840876,0.015826924452,27.712297348962,0.000000140765,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.051071228272,0.016015424039,10.168940864858,0.001428262992,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.021916106545,0.016394023056,1.787128262936,0.181276447356,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.027359888929,0.017252413074,2.514947735502,0.112771372101,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.041142791225,0.018664804302,4.858929774862,0.027503391892,"Female,Age 80-84",v2024,HCUP 2021
