VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-4.813918282024,0.007672681254,393643.52667427,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.546660734886,0.008854106824,3811.9416737283,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-5.332765142820,0.042080253734,16060.098904028,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-5.056294563579,0.042546300904,14123.460469281,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-4.772652855867,0.036664654693,16944.333665649,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-4.577174788093,0.033974258067,18150.769077453,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-4.327523939732,0.031100360363,19361.906366690,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-4.039988755504,0.028106379827,20660.959705724,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-3.669466899908,0.023167908117,25086.051230259,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-3.250446564282,0.019168167216,28755.762166729,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-2.770974048597,0.015990753714,30028.044307577,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-2.289041239004,0.014238998802,25843.321291861,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.745042467300,0.012714710137,18836.450694721,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-1.152227065330,0.012229758359,8876.4721041314,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.615439285125,0.012126795117,2575.5996033751,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,1.525473713545,0.044888879378,1154.8668879573,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,1.267815048256,0.046094519360,756.50747383639,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,1.103525165589,0.040202566742,753.45430728309,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,1.006655644303,0.037558104466,718.38049936679,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.895354101876,0.034690727566,666.13589810513,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.718196018365,0.031866031041,507.96061048878,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.517294800228,0.026846120639,371.28991325637,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,0.299979116947,0.022707320495,174.52203374973,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,0.133298813019,0.019230117681,48.049478721345,0.000000000004,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,0.076886103511,0.017096264953,20.225218604609,0.000006883943,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.055114607843,0.015179270451,13.183527984333,0.000282420567,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.033507568531,0.014523266575,5.323009130933,0.021045638026,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.019141906624,0.014285203947,1.795549972200,0.180251413907,"Female,Age 80-84",v2024,HCUP 2021
