VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.154248417220,0.024546231512,84949.021381868,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-1.038229371872,0.039563211815,688.65790925051,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-5.866144421997,0.175797890249,1113.4691381066,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-3.848502208555,0.077700647429,2453.2070564442,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-2.660964543418,0.047096863981,3192.2301541691,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-1.804321680894,0.036240046316,2478.8511398035,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-1.072015237273,0.031086708496,1189.1932490841,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-0.496010939293,0.028671667801,299.27924338660,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-0.092871626187,0.027229886029,11.632537280820,0.000648080906,Age 50-54,v2024,HCUP 2021
AGECAT8,1,0.207985465341,0.026523811191,61.488530904973,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,0.336099053234,0.026344992057,162.75653457925,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,0.377819266352,0.026577828881,202.08272936406,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,0.272897611827,0.027281971590,100.05711247677,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,0.350603942288,0.028486379206,151.48132238857,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,0.270234900556,0.031268416860,74.691483884406,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.761106377885,0.271158919267,7.878489015637,0.005002626051,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.409931344352,0.132387802246,9.587962096481,0.001958572097,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.457973746992,0.078299345661,34.210931609625,0.000000004945,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,0.392183133010,0.060507901393,42.010092935278,0.000000000091,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.262923084842,0.052205269263,25.364643233195,0.000000474536,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.120075971326,0.048299524893,6.180541108295,0.012916277095,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,-0.049498517791,0.045985171606,1.158640661899,0.281747633660,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.157321926616,0.044611335730,12.436210339213,0.000421089341,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.130780449742,0.043994461883,8.836690269819,0.002952340730,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.120337775378,0.044368118854,7.356342244784,0.006682660216,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,-0.033196151914,0.045470026556,0.532997376071,0.465349419242,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,-0.078781043734,0.047931268915,2.701503954249,0.100253635487,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,-0.029106293380,0.052444693833,0.308014169940,0.578901334137,"Female,Age 80-84",v2024,HCUP 2021
