VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-9.218916313251,0.039560729502,54303.917688533,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,1.209997467155,0.045317793185,712.90459873913,0.000000000000,Female,v2024,HCUP 2021
AGECAT2,1,0.353958200560,0.049443735844,51.248528752106,0.000000000001,Age 5-9,v2024,HCUP 2021
AGECAT3,1,-0.076682218013,0.050868060341,2.272474281884,0.131689507403,Age 10-14,v2024,HCUP 2021
FAGECAT2,1,-0.584653187673,0.058532624078,99.770156847857,0.000000000000,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,-0.639388985752,0.060691628859,110.98715391894,0.000000000000,"Female,Age 10-14",v2024,HCUP 2021
