VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.431800637800,0.016196123334,210555.19024066,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.372822513353,0.021248676286,307.85095076632,0.000000000000,Female,v2024,HCUP 2021
AGECAT2,1,0.415898020616,0.020024118610,431.38683642668,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,0.122442142230,0.020069259557,37.221951525236,0.000000001054,Age 10-14,v2024,HCUP 2021
FAGECAT2,1,-0.408118010685,0.027211686131,224.93685367507,0.000000000000,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,-0.329453290994,0.027079291260,148.01751659185,0.000000000000,"Female,Age 10-14",v2024,HCUP 2021
