VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.615710824937,0.017754297348,183998.34302105,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.067354309905,0.024972763687,7.274406507364,0.006994399956,Female,v2024,HCUP 2021
AGECAT2,1,0.428143115540,0.021904017603,382.05894355704,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,0.158565823970,0.021863587484,52.598859575836,0.000000000000,Age 10-14,v2024,HCUP 2021
FAGECAT2,1,-0.294987597284,0.031692522499,86.635103464583,0.000000000000,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,-0.141105646543,0.031153900155,20.514641815884,0.000005917685,"Female,Age 10-14",v2024,HCUP 2021
