VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.303874582348,0.013093357558,311174.89990245,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.183179484478,0.019667117815,86.750547833118,0.000000000000,Female,v2024,HCUP 2021
AGECAT2,1,-1.657910253031,0.031047232364,2851.5188751160,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,-2.412819965803,0.041998674606,3300.4918568911,0.000000000000,Age 10-14,v2024,HCUP 2021
AGECAT4,1,-2.322522207327,0.050748800319,2094.4412864134,0.000000000000,Age 15-17,v2024,HCUP 2021
FAGECAT2,1,0.025524041186,0.046371006686,0.302974323846,0.582023767295,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,0.209889053912,0.060066741955,12.209880890204,0.000475370692,"Female,Age 10-14",v2024,HCUP 2021
FAGECAT4,1,0.529462386480,0.067604183446,61.337077933780,0.000000000000,"Female,Age 15-17",v2024,HCUP 2021
